comment_id,post_id,user_id,comment_text,commented_at
70,131,726,Comment 70,2024-08-08 09:53:15
71,1175,212,Comment 71,2025-02-21 09:53:15
72,1966,693,Comment 72,2025-03-15 09:53:15
73,570,971,Comment 73,2024-12-20 09:53:15
74,181,790,Comment 74,2024-03-27 09:53:15
75,499,73,Comment 75,2025-02-27 09:53:15
76,1114,466,Comment 76,2024-05-30 09:53:15
77,684,355,Comment 77,2025-03-19 09:53:15
78,1929,470,Comment 78,2025-02-22 09:53:15
79,1265,436,Comment 79,2024-04-03 09:53:15
80,1253,326,Comment 80,2024-11-07 09:53:15
81,563,470,Comment 81,2024-04-14 09:53:15
82,163,923,Comment 82,2024-05-14 09:53:15
83,1588,987,Comment 83,2024-04-09 09:53:15
84,1452,642,Comment 84,2025-01-21 09:53:15
85,148,491,Comment 85,2025-01-14 09:53:15
86,1808,267,Comment 86,2024-06-24 09:53:15
87,1831,740,Comment 87,2024-10-02 09:53:15
88,1916,785,Comment 88,2024-05-13 09:53:15
89,1508,1000,Comment 89,2024-11-23 09:53:15
90,714,927,Comment 90,2024-07-05 09:53:15
91,1855,594,Comment 91,2025-01-23 09:53:15
92,523,580,Comment 92,2024-06-15 09:53:15
93,488,110,Comment 93,2024-07-04 09:53:15
94,840,162,Comment 94,2025-02-17 09:53:15
95,1849,702,Comment 95,2024-11-23 09:53:15
96,1609,10,Comment 96,2024-05-23 09:53:15
97,1835,960,Comment 97,2025-03-04 09:53:15
98,523,568,Comment 98,2025-02-10 09:53:15
99,440,26,Comment 99,2025-02-11 09:53:15
100,1217,271,Comment 100,2025-01-20 09:53:15
101,511,531,Comment 101,2025-02-07 09:53:15
102,1448,822,Comment 102,2024-04-29 09:53:15
103,1421,21,Comment 103,2024-03-24 09:53:15
104,1553,440,Comment 104,2024-12-25 09:53:15
105,719,100,Comment 105,2024-03-30 09:53:15
106,208,738,Comment 106,2024-10-02 09:53:15
107,1754,401,Comment 107,2024-08-19 09:53:15
108,552,346,Comment 108,2024-03-30 09:53:15
109,452,429,Comment 109,2025-02-08 09:53:15
110,1406,354,Comment 110,2024-05-04 09:53:15
111,1048,517,Comment 111,2025-03-22 09:53:15
112,581,463,Comment 112,2024-06-24 09:53:15
113,740,560,Comment 113,2024-11-22 09:53:15
114,1998,464,Comment 114,2024-09-12 09:53:15
115,566,217,Comment 115,2024-04-24 09:53:15
116,1632,842,Comment 116,2024-08-10 09:53:15
117,1312,844,Comment 117,2025-01-01 09:53:15
118,239,73,Comment 118,2025-03-02 09:53:15
119,974,592,Comment 119,2024-10-24 09:53:15
120,185,224,Comment 120,2024-11-02 09:53:15
121,1750,252,Comment 121,2024-10-31 09:53:15
122,263,240,Comment 122,2025-03-21 09:53:15
123,1580,65,Comment 123,2024-10-05 09:53:15
124,469,977,Comment 124,2025-03-03 09:53:15
125,1238,912,Comment 125,2024-04-20 09:53:15
126,29,944,Comment 126,2024-12-02 09:53:15
127,166,162,Comment 127,2024-08-25 09:53:15
128,347,692,Comment 128,2024-07-21 09:53:15
129,1198,17,Comment 129,2024-04-26 09:53:15
130,954,201,Comment 130,2025-02-18 09:53:15
131,1169,591,Comment 131,2024-06-10 09:53:15
132,1706,47,Comment 132,2025-03-06 09:53:15
133,1366,962,Comment 133,2024-10-07 09:53:15
134,441,372,Comment 134,2025-01-10 09:53:15
135,1777,863,Comment 135,2024-07-12 09:53:15
136,677,731,Comment 136,2024-07-09 09:53:15
137,1717,605,Comment 137,2025-03-18 09:53:15
138,1470,521,Comment 138,2025-02-24 09:53:15
139,1871,222,Comment 139,2024-10-27 09:53:15
140,549,876,Comment 140,2024-12-15 09:53:15
141,1813,290,Comment 141,2025-02-14 09:53:15
142,394,318,Comment 142,2024-06-13 09:53:15
143,1173,284,Comment 143,2025-01-08 09:53:15
144,648,621,Comment 144,2025-01-26 09:53:15
145,1628,91,Comment 145,2024-08-14 09:53:15
146,917,993,Comment 146,2024-07-26 09:53:15
147,1223,513,Comment 147,2025-02-22 09:53:15
148,1448,5,Comment 148,2024-07-16 09:53:15
149,392,262,Comment 149,2025-03-13 09:53:15
150,862,15,Comment 150,2024-11-07 09:53:15
151,2,316,Comment 151,2024-08-30 09:53:15
152,1416,995,Comment 152,2024-11-20 09:53:15
153,924,63,Comment 153,2024-09-11 09:53:15
154,825,235,Comment 154,2025-01-17 09:53:15
155,1833,11,Comment 155,2024-03-23 09:53:15
156,1148,423,Comment 156,2024-12-21 09:53:15
157,1668,855,Comment 157,2024-04-13 09:53:15
158,972,49,Comment 158,2024-06-23 09:53:15
159,1863,390,Comment 159,2024-08-24 09:53:15
160,1060,859,Comment 160,2024-07-09 09:53:15
161,687,340,Comment 161,2025-01-24 09:53:15
162,1872,381,Comment 162,2024-08-03 09:53:15
163,874,695,Comment 163,2024-05-14 09:53:15
164,1924,811,Comment 164,2024-12-24 09:53:15
165,416,380,Comment 165,2024-07-16 09:53:15
166,1849,119,Comment 166,2025-01-17 09:53:15
167,1613,685,Comment 167,2024-08-28 09:53:15
168,948,166,Comment 168,2024-07-28 09:53:15
169,1218,951,Comment 169,2024-11-14 09:53:15
170,1385,362,Comment 170,2025-01-08 09:53:15
171,437,473,Comment 171,2024-11-16 09:53:15
172,1273,102,Comment 172,2024-08-15 09:53:15
173,525,356,Comment 173,2024-08-09 09:53:15
174,1917,232,Comment 174,2024-10-27 09:53:15
175,1282,720,Comment 175,2024-12-15 09:53:15
176,720,997,Comment 176,2024-06-04 09:53:15
177,1434,670,Comment 177,2025-01-11 09:53:15
178,1560,313,Comment 178,2024-08-06 09:53:15
179,266,977,Comment 179,2024-05-30 09:53:15
180,217,633,Comment 180,2024-07-12 09:53:15
181,731,5,Comment 181,2024-09-11 09:53:15
182,28,153,Comment 182,2024-08-17 09:53:15
183,986,683,Comment 183,2024-12-28 09:53:15
184,126,271,Comment 184,2024-05-02 09:53:15
185,960,648,Comment 185,2024-04-15 09:53:15
186,1889,195,Comment 186,2024-05-12 09:53:15
187,741,804,Comment 187,2025-01-22 09:53:15
188,379,828,Comment 188,2024-09-14 09:53:15
189,1180,117,Comment 189,2024-06-06 09:53:15
190,925,612,Comment 190,2024-04-27 09:53:15
191,422,46,Comment 191,2025-02-15 09:53:15
192,534,294,Comment 192,2025-03-18 09:53:15
193,1137,18,Comment 193,2024-11-18 09:53:15
194,918,28,Comment 194,2024-05-08 09:53:15
195,259,414,Comment 195,2024-09-16 09:53:15
196,1734,395,Comment 196,2024-06-27 09:53:15
197,1850,761,Comment 197,2024-10-28 09:53:15
198,1824,623,Comment 198,2024-11-11 09:53:15
199,1857,287,Comment 199,2025-03-17 09:53:15
200,1574,320,Comment 200,2024-06-03 09:53:15
201,1630,862,Comment 201,2024-08-15 09:53:15
202,220,530,Comment 202,2024-08-30 09:53:15
203,530,88,Comment 203,2024-11-09 09:53:15
204,1665,235,Comment 204,2024-11-14 09:53:15
205,724,145,Comment 205,2024-05-17 09:53:15
206,1506,762,Comment 206,2024-04-17 09:53:15
207,1731,367,Comment 207,2024-09-04 09:53:15
208,943,167,Comment 208,2024-06-26 09:53:15
209,1955,251,Comment 209,2024-08-08 09:53:15
210,400,316,Comment 210,2025-01-16 09:53:15
211,1328,638,Comment 211,2024-11-09 09:53:15
212,1454,419,Comment 212,2024-07-24 09:53:15
213,214,266,Comment 213,2025-03-12 09:53:15
214,1463,437,Comment 214,2024-12-05 09:53:15
215,9,912,Comment 215,2024-09-03 09:53:15
216,674,17,Comment 216,2024-03-27 09:53:15
217,196,10,Comment 217,2025-01-28 09:53:15
218,808,620,Comment 218,2025-02-25 09:53:15
219,1393,347,Comment 219,2024-07-27 09:53:15
220,1969,779,Comment 220,2024-07-29 09:53:15
221,317,275,Comment 221,2025-02-04 09:53:15
222,426,462,Comment 222,2024-11-28 09:53:15
223,1245,530,Comment 223,2024-05-27 09:53:15
224,590,185,Comment 224,2025-01-19 09:53:15
225,1805,86,Comment 225,2024-07-25 09:53:15
226,1042,705,Comment 226,2025-02-03 09:53:15
227,288,207,Comment 227,2025-01-24 09:53:15
228,1178,609,Comment 228,2025-01-22 09:53:15
229,182,990,Comment 229,2024-10-25 09:53:15
230,527,317,Comment 230,2024-10-12 09:53:15
231,299,293,Comment 231,2024-09-05 09:53:15
232,734,60,Comment 232,2024-04-17 09:53:15
233,1243,232,Comment 233,2025-03-08 09:53:15
234,1223,16,Comment 234,2025-01-11 09:53:15
235,967,259,Comment 235,2024-09-05 09:53:15
236,1287,856,Comment 236,2025-03-13 09:53:15
237,1725,343,Comment 237,2024-07-24 09:53:15
238,1738,417,Comment 238,2024-06-18 09:53:15
239,781,471,Comment 239,2024-10-07 09:53:15
240,187,17,Comment 240,2025-03-11 09:53:15
241,568,896,Comment 241,2024-12-06 09:53:15
242,1021,744,Comment 242,2024-11-11 09:53:15
243,716,367,Comment 243,2025-01-08 09:53:15
244,136,214,Comment 244,2024-04-17 09:53:15
245,224,745,Comment 245,2024-03-30 09:53:15
246,1257,389,Comment 246,2025-01-10 09:53:15
247,508,202,Comment 247,2024-06-09 09:53:15
248,1948,929,Comment 248,2024-05-02 09:53:15
249,33,36,Comment 249,2024-10-17 09:53:15
250,138,451,Comment 250,2024-11-27 09:53:15
251,718,90,Comment 251,2024-07-19 09:53:15
252,1324,345,Comment 252,2024-04-01 09:53:15
253,700,564,Comment 253,2024-07-04 09:53:15
254,1439,325,Comment 254,2024-09-05 09:53:15
255,1237,671,Comment 255,2024-11-09 09:53:15
256,1689,566,Comment 256,2024-07-22 09:53:15
257,618,181,Comment 257,2024-06-05 09:53:15
258,726,448,Comment 258,2024-03-24 09:53:15
259,261,86,Comment 259,2024-06-17 09:53:15
260,1996,224,Comment 260,2024-11-23 09:53:15
261,594,48,Comment 261,2024-09-17 09:53:15
262,1037,668,Comment 262,2024-08-06 09:53:15
263,1945,430,Comment 263,2024-04-02 09:53:15
264,269,642,Comment 264,2025-01-17 09:53:15
265,1350,717,Comment 265,2024-04-22 09:53:15
266,711,169,Comment 266,2024-12-17 09:53:15
267,934,125,Comment 267,2024-09-07 09:53:15
268,1085,536,Comment 268,2025-03-09 09:53:15
269,1295,898,Comment 269,2024-06-17 09:53:15
270,1902,499,Comment 270,2024-04-21 09:53:15
271,54,551,Comment 271,2024-11-17 09:53:15
272,270,943,Comment 272,2024-11-25 09:53:15
273,1040,403,Comment 273,2025-01-16 09:53:15
274,603,641,Comment 274,2024-08-26 09:53:15
275,1902,83,Comment 275,2025-03-05 09:53:15
276,1308,225,Comment 276,2024-12-30 09:53:15
277,81,65,Comment 277,2024-09-11 09:53:15
278,1153,830,Comment 278,2024-06-24 09:53:15
279,107,769,Comment 279,2024-12-06 09:53:15
280,1358,667,Comment 280,2024-05-12 09:53:15
281,871,433,Comment 281,2024-11-18 09:53:15
282,1050,583,Comment 282,2024-10-11 09:53:15
283,1656,559,Comment 283,2024-07-17 09:53:15
284,1258,660,Comment 284,2024-06-20 09:53:15
285,354,410,Comment 285,2024-09-19 09:53:15
286,987,112,Comment 286,2025-01-04 09:53:15
287,1594,749,Comment 287,2025-01-10 09:53:15
288,692,523,Comment 288,2024-10-29 09:53:15
289,1142,189,Comment 289,2024-12-02 09:53:15
290,258,181,Comment 290,2024-04-16 09:53:15
291,1557,789,Comment 291,2025-03-15 09:53:15
292,1056,840,Comment 292,2024-05-05 09:53:15
293,749,44,Comment 293,2025-02-08 09:53:15
294,766,389,Comment 294,2024-09-08 09:53:15
295,1059,910,Comment 295,2024-07-09 09:53:15
296,788,809,Comment 296,2024-04-30 09:53:15
297,832,369,Comment 297,2024-04-17 09:53:15
298,1014,291,Comment 298,2024-08-10 09:53:15
299,824,809,Comment 299,2024-10-26 09:53:15
300,1559,50,Comment 300,2025-01-11 09:53:15
301,834,606,Comment 301,2024-08-17 09:53:15
302,1174,374,Comment 302,2024-11-01 09:53:15
303,397,198,Comment 303,2024-10-13 09:53:15
304,695,709,Comment 304,2025-02-18 09:53:15
305,196,511,Comment 305,2024-08-22 09:53:15
306,1611,590,Comment 306,2025-02-12 09:53:15
307,1052,833,Comment 307,2025-03-11 09:53:15
308,1941,96,Comment 308,2025-02-13 09:53:15
309,81,221,Comment 309,2024-07-11 09:53:15
310,1106,418,Comment 310,2024-07-29 09:53:15
311,597,437,Comment 311,2025-02-17 09:53:15
312,418,320,Comment 312,2025-01-29 09:53:15
313,1461,673,Comment 313,2024-06-06 09:53:15
314,1579,947,Comment 314,2024-06-14 09:53:15
315,946,623,Comment 315,2024-11-01 09:53:15
316,1632,477,Comment 316,2024-05-19 09:53:15
317,653,631,Comment 317,2024-11-27 09:53:15
318,1585,282,Comment 318,2024-08-14 09:53:15
319,1015,116,Comment 319,2024-04-29 09:53:15
320,508,275,Comment 320,2024-06-14 09:53:15
321,1179,760,Comment 321,2024-03-24 09:53:15
322,1969,702,Comment 322,2024-03-22 09:53:15
323,1769,75,Comment 323,2025-01-16 09:53:15
324,529,515,Comment 324,2025-01-20 09:53:15
325,1522,948,Comment 325,2024-11-20 09:53:15
326,1562,500,Comment 326,2025-02-23 09:53:15
327,1627,840,Comment 327,2024-08-06 09:53:15
328,1305,125,Comment 328,2024-05-04 09:53:15
329,223,229,Comment 329,2024-08-24 09:53:15
330,583,414,Comment 330,2025-01-09 09:53:15
331,892,69,Comment 331,2024-11-18 09:53:15
332,1243,938,Comment 332,2024-08-31 09:53:15
333,1236,987,Comment 333,2024-06-17 09:53:15
334,1935,524,Comment 334,2024-09-02 09:53:15
335,793,20,Comment 335,2024-08-30 09:53:15
336,692,726,Comment 336,2025-01-02 09:53:15
337,76,961,Comment 337,2024-07-27 09:53:15
338,565,724,Comment 338,2024-12-21 09:53:15
339,12,50,Comment 339,2024-08-03 09:53:15
340,1229,440,Comment 340,2024-07-05 09:53:15
341,369,321,Comment 341,2024-08-02 09:53:15
342,1433,582,Comment 342,2025-01-15 09:53:15
343,1297,780,Comment 343,2024-12-13 09:53:15
344,534,754,Comment 344,2024-05-13 09:53:15
345,1677,414,Comment 345,2024-04-27 09:53:15
346,202,296,Comment 346,2024-07-26 09:53:15
347,574,55,Comment 347,2025-01-21 09:53:15
348,1339,958,Comment 348,2024-06-14 09:53:15
349,1248,856,Comment 349,2024-06-06 09:53:15
350,1908,948,Comment 350,2024-10-12 09:53:15
351,1559,88,Comment 351,2024-05-07 09:53:15
352,60,43,Comment 352,2024-06-03 09:53:15
353,1147,448,Comment 353,2024-06-29 09:53:15
354,996,119,Comment 354,2024-08-15 09:53:15
355,282,715,Comment 355,2025-03-03 09:53:15
356,766,769,Comment 356,2024-11-11 09:53:15
357,1337,173,Comment 357,2024-04-16 09:53:15
358,627,55,Comment 358,2024-04-21 09:53:15
359,1640,387,Comment 359,2024-05-03 09:53:15
360,1571,963,Comment 360,2024-06-10 09:53:15
361,843,467,Comment 361,2024-06-06 09:53:15
362,86,872,Comment 362,2025-01-21 09:53:15
363,1773,898,Comment 363,2025-01-26 09:53:15
364,1400,935,Comment 364,2024-12-10 09:53:15
365,304,9,Comment 365,2024-10-23 09:53:15
366,1328,468,Comment 366,2025-01-12 09:53:15
367,1408,234,Comment 367,2024-09-11 09:53:15
368,1733,868,Comment 368,2024-10-27 09:53:15
369,240,751,Comment 369,2024-05-05 09:53:15
370,587,457,Comment 370,2024-07-26 09:53:15
371,389,169,Comment 371,2024-09-12 09:53:15
372,726,96,Comment 372,2024-11-19 09:53:15
373,1879,877,Comment 373,2024-08-01 09:53:15
374,55,926,Comment 374,2024-10-22 09:53:15
375,1012,933,Comment 375,2025-01-03 09:53:15
376,1097,777,Comment 376,2024-11-25 09:53:15
377,1659,779,Comment 377,2024-04-09 09:53:15
378,31,948,Comment 378,2024-10-25 09:53:15
379,862,291,Comment 379,2024-09-07 09:53:15
380,236,267,Comment 380,2024-09-28 09:53:15
381,1952,538,Comment 381,2024-04-14 09:53:15
382,1979,336,Comment 382,2024-08-02 09:53:15
383,914,147,Comment 383,2024-05-19 09:53:15
384,1752,481,Comment 384,2024-10-01 09:53:15
385,1384,433,Comment 385,2024-06-07 09:53:15
386,1949,519,Comment 386,2025-02-26 09:53:15
387,989,111,Comment 387,2024-11-05 09:53:15
388,404,567,Comment 388,2025-02-27 09:53:15
389,1981,984,Comment 389,2024-06-11 09:53:15
390,866,201,Comment 390,2025-03-18 09:53:15
391,62,519,Comment 391,2025-01-27 09:53:15
392,1717,500,Comment 392,2024-11-15 09:53:15
393,329,238,Comment 393,2024-04-21 09:53:15
394,167,169,Comment 394,2024-04-12 09:53:15
395,846,80,Comment 395,2024-07-30 09:53:15
396,459,268,Comment 396,2025-01-21 09:53:15
397,651,406,Comment 397,2024-06-22 09:53:15
398,914,696,Comment 398,2024-10-30 09:53:15
399,1711,693,Comment 399,2024-12-22 09:53:15
400,905,556,Comment 400,2024-04-29 09:53:15
401,875,898,Comment 401,2024-08-03 09:53:15
402,1048,148,Comment 402,2025-03-22 09:53:15
403,1344,147,Comment 403,2024-09-02 09:53:15
404,611,187,Comment 404,2024-08-15 09:53:15
405,1078,321,Comment 405,2024-10-25 09:53:15
406,732,789,Comment 406,2024-12-20 09:53:15
407,537,826,Comment 407,2024-06-22 09:53:15
408,1905,477,Comment 408,2024-12-22 09:53:15
409,1274,331,Comment 409,2024-04-02 09:53:15
410,1739,917,Comment 410,2025-02-15 09:53:15
411,1857,532,Comment 411,2024-06-25 09:53:15
412,744,132,Comment 412,2024-10-09 09:53:15
413,367,48,Comment 413,2024-07-30 09:53:15
414,1056,296,Comment 414,2024-05-24 09:53:15
415,1370,697,Comment 415,2025-01-16 09:53:15
416,1779,643,Comment 416,2024-12-08 09:53:15
417,751,11,Comment 417,2025-01-30 09:53:15
418,774,224,Comment 418,2025-03-13 09:53:15
419,804,598,Comment 419,2025-03-13 09:53:15
420,1643,964,Comment 420,2024-08-08 09:53:15
421,1318,956,Comment 421,2025-02-22 09:53:15
422,139,926,Comment 422,2024-12-29 09:53:15
423,1004,764,Comment 423,2024-07-21 09:53:15
424,1288,23,Comment 424,2024-08-17 09:53:15
425,1399,320,Comment 425,2024-11-19 09:53:15
426,1709,446,Comment 426,2024-08-31 09:53:15
427,736,57,Comment 427,2024-04-21 09:53:15
428,1705,109,Comment 428,2024-05-18 09:53:15
429,828,25,Comment 429,2024-11-18 09:53:15
430,1732,513,Comment 430,2025-03-15 09:53:15
431,1786,994,Comment 431,2024-07-18 09:53:15
432,985,649,Comment 432,2024-05-10 09:53:15
433,1593,606,Comment 433,2024-04-30 09:53:15
434,725,343,Comment 434,2024-11-17 09:53:15
435,1516,924,Comment 435,2024-07-07 09:53:15
436,1950,162,Comment 436,2024-11-15 09:53:15
437,581,98,Comment 437,2024-11-23 09:53:15
438,220,998,Comment 438,2024-09-08 09:53:15
439,154,560,Comment 439,2024-04-28 09:53:15
440,321,310,Comment 440,2025-03-22 09:53:15
441,599,291,Comment 441,2024-11-07 09:53:15
442,409,414,Comment 442,2025-03-20 09:53:15
443,817,727,Comment 443,2024-08-11 09:53:15
444,656,300,Comment 444,2024-12-09 09:53:15
445,800,956,Comment 445,2024-08-24 09:53:15
446,1399,476,Comment 446,2024-09-19 09:53:15
447,1917,858,Comment 447,2024-04-05 09:53:15
448,106,617,Comment 448,2024-10-26 09:53:15
449,817,705,Comment 449,2024-04-22 09:53:15
450,1909,303,Comment 450,2025-03-06 09:53:15
451,1657,659,Comment 451,2024-05-10 09:53:15
452,1453,977,Comment 452,2024-08-24 09:53:15
453,1305,985,Comment 453,2024-04-23 09:53:15
454,618,133,Comment 454,2024-12-07 09:53:15
455,1653,755,Comment 455,2024-07-01 09:53:15
456,494,877,Comment 456,2024-12-10 09:53:15
457,1931,563,Comment 457,2024-10-17 09:53:15
458,1511,268,Comment 458,2024-07-09 09:53:15
459,1116,745,Comment 459,2024-12-28 09:53:15
460,135,873,Comment 460,2024-07-10 09:53:15
461,1924,624,Comment 461,2024-07-30 09:53:15
462,277,237,Comment 462,2024-07-27 09:53:15
463,811,573,Comment 463,2024-11-06 09:53:15
464,176,270,Comment 464,2024-10-16 09:53:15
465,1464,548,Comment 465,2024-08-28 09:53:15
466,1159,31,Comment 466,2024-04-24 09:53:15
467,330,821,Comment 467,2025-03-08 09:53:15
468,1995,477,Comment 468,2024-11-08 09:53:15
469,463,645,Comment 469,2024-07-03 09:53:15
470,1388,987,Comment 470,2024-05-30 09:53:15
471,1177,885,Comment 471,2024-12-19 09:53:15
472,1005,699,Comment 472,2025-01-12 09:53:15
473,281,839,Comment 473,2025-03-07 09:53:15
474,181,274,Comment 474,2024-03-24 09:53:15
475,1728,577,Comment 475,2024-05-21 09:53:15
476,1599,207,Comment 476,2024-12-12 09:53:15
477,70,566,Comment 477,2024-04-22 09:53:15
478,690,810,Comment 478,2024-07-07 09:53:15
479,1548,362,Comment 479,2025-03-09 09:53:15
480,1043,454,Comment 480,2024-11-25 09:53:15
481,323,683,Comment 481,2025-01-23 09:53:15
482,1530,265,Comment 482,2024-11-19 09:53:15
483,493,648,Comment 483,2025-01-15 09:53:15
484,1770,434,Comment 484,2025-02-28 09:53:15
485,961,555,Comment 485,2024-10-19 09:53:15
486,1525,840,Comment 486,2024-05-11 09:53:15
487,210,384,Comment 487,2024-07-14 09:53:15
488,1624,218,Comment 488,2024-04-29 09:53:15
489,432,314,Comment 489,2024-09-16 09:53:15
490,315,975,Comment 490,2024-06-13 09:53:15
491,1951,437,Comment 491,2024-12-16 09:53:15
492,713,762,Comment 492,2024-09-11 09:53:15
493,1070,199,Comment 493,2024-07-25 09:53:15
494,1750,294,Comment 494,2024-06-09 09:53:15
495,910,824,Comment 495,2024-05-11 09:53:15
496,1223,25,Comment 496,2024-10-21 09:53:15
497,263,467,Comment 497,2024-09-07 09:53:15
498,749,129,Comment 498,2024-11-30 09:53:15
499,490,452,Comment 499,2024-05-15 09:53:15
500,1073,580,Comment 500,2024-04-10 09:53:15
501,453,463,Comment 501,2025-03-02 09:53:15
502,475,18,Comment 502,2024-06-20 09:53:15
503,78,543,Comment 503,2024-12-23 09:53:15
504,814,421,Comment 504,2025-01-18 09:53:15
505,1250,383,Comment 505,2024-09-21 09:53:15
506,62,724,Comment 506,2024-04-26 09:53:15
507,1557,387,Comment 507,2024-08-21 09:53:15
508,1725,327,Comment 508,2024-10-14 09:53:15
509,620,729,Comment 509,2024-04-21 09:53:15
510,1966,193,Comment 510,2024-06-01 09:53:15
511,535,828,Comment 511,2024-11-16 09:53:15
512,584,56,Comment 512,2024-04-09 09:53:15
513,840,44,Comment 513,2024-06-21 09:53:15
514,62,363,Comment 514,2025-02-02 09:53:15
515,281,694,Comment 515,2024-04-19 09:53:15
516,1496,624,Comment 516,2024-07-20 09:53:15
517,56,609,Comment 517,2024-05-15 09:53:15
518,738,502,Comment 518,2024-09-26 09:53:15
519,185,150,Comment 519,2025-02-11 09:53:15
520,155,10,Comment 520,2024-06-13 09:53:15
521,1694,363,Comment 521,2024-05-31 09:53:15
522,870,8,Comment 522,2024-09-25 09:53:15
523,560,132,Comment 523,2025-01-15 09:53:15
524,1356,140,Comment 524,2024-04-11 09:53:15
525,389,125,Comment 525,2025-01-03 09:53:15
526,1631,282,Comment 526,2024-04-12 09:53:15
527,1508,66,Comment 527,2024-03-22 09:53:15
528,545,924,Comment 528,2024-09-25 09:53:15
529,1336,269,Comment 529,2024-05-20 09:53:15
530,723,937,Comment 530,2024-07-25 09:53:15
531,1855,278,Comment 531,2024-03-24 09:53:15
532,976,769,Comment 532,2024-12-14 09:53:15
533,90,189,Comment 533,2024-10-02 09:53:15
534,1490,350,Comment 534,2024-08-18 09:53:15
535,1311,838,Comment 535,2024-11-27 09:53:15
536,1846,270,Comment 536,2025-03-18 09:53:15
537,1760,878,Comment 537,2024-12-28 09:53:15
538,336,768,Comment 538,2024-06-11 09:53:15
539,1892,401,Comment 539,2025-02-01 09:53:15
540,1840,885,Comment 540,2025-01-16 09:53:15
541,1511,22,Comment 541,2024-08-09 09:53:15
542,370,861,Comment 542,2024-12-27 09:53:15
543,227,173,Comment 543,2024-05-31 09:53:15
544,1953,700,Comment 544,2024-10-03 09:53:15
545,250,857,Comment 545,2025-02-01 09:53:15
546,414,553,Comment 546,2024-11-26 09:53:15
547,83,494,Comment 547,2024-10-13 09:53:15
